Id,Date,Product,Quantity,UnitPrice
1,29/04/2020,Hat,80,39437,71
2,20/05/2024,Car,25,1174,09
3,02/12/2020,Fish,52,7313,72
4,07/03/2020,Chips,84,4578,60
5,26/08/2024,Computer,87,12556,34
6,05/08/2022,Keyboard,56,40514,67
7,16/12/2020,Sausages,29,4406,06
8,29/06/2020,Towels,38,12738,47
9,04/12/2024,Salad,65,10215,49
10,05/02/2018,Gloves,55,17619,77
11,18/10/2019,Pants,21,2348,00
12,29/02/2024,Shoes,76,20094,19
13,11/01/2022,Car,48,24614,13
14,04/02/2023,Bacon,47,38564,48
15,22/12/2018,Fish,29,41282,95
16,07/02/2023,Salad,78,9156,86
17,18/08/2024,Pizza,47,22822,87
18,12/10/2022,Soap,28,37370,40
19,11/09/2019,Gloves,65,955,50
20,05/02/2020,Tuna,60,3928,72
21,06/11/2018,Chicken,16,20197,02
22,04/02/2020,Shoes,85,9913,49
23,05/12/2018,Table,53,24902,99
24,14/07/2018,Salad,1,8759,18
25,23/04/2018,Pizza,98,42612,64
26,06/08/2020,Salad,34,46706,83
27,02/05/2018,Hat,14,22307,87
28,28/11/2020,Hat,27,16039,91
29,16/12/2019,Cheese,2,39622,08
30,05/09/2022,Sausages,3,17719,72
31,10/03/2023,Chair,33,27404,92
32,20/02/2018,Cheese,98,48054,57
33,03/10/2022,Fish,11,29396,35
34,21/03/2022,Hat,44,42290,93
35,10/08/2023,Sausages,56,36051,75
36,29/06/2023,Chips,93,20621,31
37,03/07/2018,Shoes,81,34407,22
38,30/12/2023,Salad,62,21740,24
39,28/07/2019,Salad,60,18377,70
40,22/09/2023,Chips,50,42707,10
41,16/03/2018,Chips,48,38246,34
42,03/04/2023,Shoes,80,49309,78
43,26/08/2019,Towels,65,39766,38
44,05/08/2024,Towels,57,43270,02
45,07/06/2018,Bike,65,42657,28
46,26/04/2019,Keyboard,38,1722,66
47,06/12/2023,Chicken,39,39495,69
48,31/05/2018,Bike,65,28878,42
49,06/03/2021,Hat,25,10568,00
50,20/08/2022,Chicken,46,27830,90
51,21/02/2020,Pants,8,34646,26
52,25/07/2023,Car,3,2551,63
53,29/11/2022,Towels,96,2128,40
54,09/06/2022,Pants,49,15500,60
55,25/01/2018,Soap,98,39171,24
56,13/09/2020,Ball,9,16176,66
57,01/10/2019,Table,93,16703,80
58,27/12/2020,Shoes,13,49597,09
59,22/05/2021,Salad,23,36815,85
60,02/01/2020,Chicken,60,46749,09
61,22/07/2023,Gloves,79,19087,13
62,11/10/2024,Shirt,25,6880,62
63,06/09/2021,Chair,36,3442,72
64,12/03/2018,Table,90,21059,69
65,24/12/2019,Computer,63,45168,48
66,09/10/2024,Shirt,33,29088,73
67,23/02/2022,Fish,45,24902,85
68,23/11/2021,Salad,42,36120,15
69,10/07/2024,Sausages,10,23149,28
70,29/05/2021,Mouse,50,32446,73
71,22/04/2024,Car,39,33368,04
72,12/06/2022,Table,10,34329,65
73,16/09/2024,Bacon,6,9204,74
74,20/09/2022,Bacon,85,24494,52
75,24/12/2018,Towels,50,42887,09
76,23/07/2021,Keyboard,21,4795,57
77,19/09/2021,Pants,70,20701,43
78,08/08/2021,Mouse,6,24501,70
79,13/09/2018,Fish,81,27029,95
80,27/06/2023,Computer,48,14641,41
81,16/01/2020,Hat,84,15235,97
82,28/06/2019,Ball,34,15870,64
83,25/11/2020,Cheese,46,1361,95
84,29/02/2020,Towels,17,39374,14
85,06/09/2023,Ball,47,42480,25
86,02/01/2020,Shirt,38,24466,13
87,24/11/2020,Chair,20,44474,53
88,23/12/2024,Pants,87,8056,72
89,29/02/2020,Chips,85,37105,08
90,16/02/2022,Keyboard,45,23638,66
91,30/06/2018,Bacon,100,22858,08
92,03/07/2023,Cheese,33,20378,26
93,13/03/2022,Tuna,78,1209,24
94,16/05/2021,Computer,76,16495,70
95,01/04/2024,Ball,9,24318,68
96,31/05/2019,Bike,89,11804,63
97,17/08/2022,Sausages,13,14362,75
98,14/06/2018,Soap,65,13406,10
99,07/04/2018,Computer,14,22579,74
100,26/11/2020,Bacon,47,45082,38
101,22/08/2021,Towels,62,38045,47
102,05/10/2018,Car,53,18586,91
103,06/11/2021,Chicken,41,32109,40
104,19/08/2024,Tuna,79,46511,80
105,23/09/2020,Salad,63,49880,78
106,28/06/2018,Bike,23,18745,09
107,29/05/2023,Bike,32,19643,26
108,19/10/2020,Ball,41,49268,31
109,08/03/2019,Computer,100,27226,79
110,24/01/2022,Keyboard,13,8781,72
111,01/09/2020,Chair,49,32982,38
112,03/02/2019,Chicken,56,14604,55
113,10/03/2023,Table,61,43039,51
114,29/03/2019,Salad,96,633,10
115,19/05/2018,Pizza,86,28600,52
116,27/12/2024,Car,11,35963,80
117,05/11/2021,Table,55,4129,70
118,22/09/2018,Chair,3,44834,09
119,09/05/2023,Mouse,80,25022,41
120,02/04/2018,Fish,38,38586,66
121,16/08/2020,Sausages,8,14066,05
122,30/08/2021,Salad,75,28972,54
123,24/02/2023,Salad,27,26036,67
124,18/10/2021,Hat,67,896,74
125,09/02/2023,Fish,68,48010,10
126,16/08/2022,Pizza,57,38445,00
127,09/05/2024,Soap,1,48504,84
128,18/05/2023,Salad,5,19086,26
129,03/06/2018,Salad,68,41342,23
